T35,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
0,Total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"20,183",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"33,855",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"65,424",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"120,771",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"147,171",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"155,721",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"177,412",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"198,249",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
0,Total,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"212,862",Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,315",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"28,858",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"58,896",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"108,397",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"128,484",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"131,563",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"146,520",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"162,586",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"177,637",Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.15,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.51,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.73,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.91,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.72,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.80,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
593,DAC total,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),552,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),749,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,194",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,680",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,826",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,494",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,888",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,869",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,444",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.75,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.80,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.73,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.77,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.23,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.15,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
36,Australia,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.22,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),248,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),620,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,573",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,208",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,324",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,227",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,321",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,485",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.49,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.41,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.60,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.70,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.61,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
40,Austria,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),-0.02,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
31,Azerbaijan,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
31,Azerbaijan,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),26,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
31,Azerbaijan,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),378,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),440,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,034",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,963",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,004",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,904",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,208",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,376",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,574",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.63,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),-0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.84,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.68,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
